Name;MP;Region;County Area;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Worthing East and Shoreham;Tim Loughton;20;West Sussex;74001;23458;8087;12353;2984;1126;0;0;389
Worthing West;Peter Bottomley;20;West Sussex;75945;25416;5800;13687;2924;996;0;0;300
Wrekin, The;Mark Pritchard;11;Shropshire;65544;21922;12472;8019;2050;0;0;0;1505
Wycombe;Steven Baker;14;Buckinghamshire;74502;23423;8326;13863;2123;0;0;0;416
Wyre and Preston North;Ben Wallace;5;Lancashire;71201;26877;10932;11033;2466;0;0;0;0
Wyre Forest;Mark Garnier;11;Hereford and Worcestershire;76711;18793;7298;6040;1498;0;0;16150;1120
Wythenshawe and Sale East;Paul Goggins;6;Central Manchester;79923;10412;17987;9107;1405;0;0;0;1840
Yeovil;David Laws;18;Somerset;82314;18807;2991;31843;2357;0;0;0;1162
York Central;Hugh Bayley;7;North Yorkshire;74908;12122;18573;11694;1100;1669;0;0;1325
York Outer;Julian Sturdy;7;North Yorkshire;74965;22912;9108;19224;1100;0;0;0;956
Yorkshire East;Greg Knight;8;Humber area;80342;24328;10401;10842;2142;762;0;0;2779
Aberavon;Hywel Francis;12;West Glamorgan;50789;4411;16073;5034;489;0;2198;1276;1477
Aberconwy;Guto Bebb;12;Clwyd;44593;10734;7336;5786;632;0;5341;0;137
Alyn and Deeside;Mark Tami;12;Clwyd;60931;12885;15804;7308;1009;0;1549;1368;0
Arfon;Hywel Williams;12;Gwynedd;41198;4416;7928;3666;685;0;9383;0;0
Blaenau Gwent;Nick Smith;12;Gwent;52438;2265;16974;3285;488;0;1333;6458;1592
Brecon and Radnorshire;Roger Williams;12;Powys;53589;14182;4096;17929;876;341;989;0;432
Bridgend;Madeleine Moon;12;Mid Glamorgan;58700;11668;13931;8658;801;0;2269;1020;0
Caerphilly;Wayne David;12;Gwent;62134;6622;17377;5688;910;0;6460;1635;0
Cardiff Central;Jenny Willott;12;South Glamorgan;61162;7799;10400;14976;765;575;1246;0;390
Cardiff North;Jonathan Evans;12;South Glamorgan;65553;17860;17666;8724;1130;362;1588;0;300
Cardiff South and Penarth;Alun Michael;12;South Glamorgan;73704;12553;17262;9875;1145;554;1851;0;1129
Cardiff West;Kevin Brennan;12;South Glamorgan;62787;12143;16894;7186;1117;750;2868;0;0
Carmarthen East and Dinefwr;Jonathan Edwards;12;Dyfed;52385;8506;10065;4609;1285;0;13546;0;0
Carmarthen West and Pembrokeshire South;Simon Hart;12;Dyfed;57519;16649;13226;4890;1146;0;4232;0;364
Ceredigion;Mark Williams;12;Dyfed;59043;4421;2210;19139;977;696;10815;0;0
Clwyd South;Susan Elan Jones;12;Clwyd;53748;10477;13311;5965;819;0;3009;1100;0
Clwyd West;David Jones;12;Clwyd;57913;15833;9414;5801;864;0;5864;0;335
Cynon Valley;Ann Clwyd;12;Mid Glamorgan;50656;3010;15681;4120;1001;0;6064;0;0
Delyn;David Hanson;12;Clwyd;53470;12811;15083;5747;655;0;1844;844;0
Dwyfor Meirionnydd;Elfyn Llwyd;12;Gwynedd;45354;6447;4021;3538;776;0;12814;1310;0
Gower;Martin Caton;12;West Glamorgan;61696;13333;16016;7947;652;0;2760;963;0
Islwyn;Christopher Evans;12;Gwent;54826;4854;17069;3597;936;0;4518;1495;2221
Llanelli;Nia Griffith;12;Dyfed;55637;5381;15916;3902;1047;0;11215;0;0
Merthyr Tydfil and Rhymney;Dai Havard;12;Mid Glamorgan;54715;2412;14007;9951;872;0;1621;1845;1368
Monmouth;David Davies;12;Gwent;62768;22466;12041;9026;1126;587;1273;0;0
Montgomeryshire;Glyn Davies;12;Powys;48730;13976;2407;12792;1128;0;2802;0;708
Neath;Peter Hain;12;West Glamorgan;57186;4847;17172;5535;829;0;7397;1342;0
Newport East;Jessica Morden;12;Gwent;54437;7918;12744;11094;677;0;724;1168;123
Newport West;Paul Flynn;12;Gwent;62111;12845;16389;6587;1144;450;1122;1183;0
Ogmore;Huw Irranca-Davies;12;Mid Glamorgan;55527;5398;18644;5260;780;0;3326;1242;0
Pontypridd;Owen Smith;12;Mid Glamorgan;58219;5932;14220;11435;1229;361;2673;0;821
Preseli Pembrokeshire;Stephen Crabb;12;Dyfed;57419;16944;12339;5759;906;0;3654;0;0
Rhondda;Chris Bryant;12;Mid Glamorgan;51554;1993;17183;3309;358;0;5630;2599;0
Swansea East;Sian James;12;West Glamorgan;59823;4823;16819;5981;839;318;2181;1715;0
Swansea West;Geraint Davies;12;West Glamorgan;61334;7407;12335;11831;716;404;1437;910;553
Torfaen;Paul Murphy;12;Gwent;61178;7541;16847;6264;862;438;2005;1657;2026
Vale of Clwyd;Chris Ruane;12;Clwyd;55781;12508;15017;4472;515;0;2068;827;127
Vale of Glamorgan;Alun Cairns;12;South Glamorgan;70262;20341;16034;7403;1529;457;2667;0;236
Wrexham;Ian Lucas;12;Clwyd;50872;8375;12161;8503;774;0;2029;1134;0
Ynys Mon;Albert Owen;12;Gwynedd;50075;7744;11490;2592;1201;0;9029;2225;163
Aberdeen North;Frank Doran;1;Grampian;64808;4666;16746;7001;0;0;8385;0;903
Aberdeen South;Anne Begg;1;Grampian;64031;8914;15722;12216;0;413;5102;0;667
Aberdeenshire West and Kincardine;Sir Robert Smith;1;Grampian;66110;13678;6159;17362;397;0;7086;0;513
Airdrie and Shotts;Pamela Nash;2;Glasgow area;62364;3133;20849;2898;0;0;8441;0;528
Angus;Michael Weir;1;Tayside;62863;11738;6535;4090;577;0;15020;0;0
Argyll and Bute;Alan Reid;2;Argyll and Bute;67165;10861;10274;14292;0;789;8563;0;428
Ayr Carrick and Cumnock;Sandra Osborne;2;Ayrshire and Lanark;73320;11721;21632;4264;0;0;8276;0;0
Ayrshire Central;Brian Donohoe;2;Ayrshire and Lanark;68352;8943;20950;5236;0;0;8364;0;422
Ayrshire North and Arran;Katy Clark;2;Ayrshire and Lanark;74953;7212;21860;4630;0;0;11965;0;449
Banff and Buchan;Eilidh Whiteford;1;Grampian;64300;11841;5382;4365;0;0;15868;0;1010
Berwickshire, Roxburgh and Selkirk;Michael Moore;1;Borders;73826;16555;5003;22230;595;0;4497;0;134
Caithness Sutherland and Easter Ross;John Thurso;1;Highland;47257;3744;7081;11907;0;0;5516;0;520
Coatbridge, Chryston and Bellshill;Tom Clarke;2;Glasgow area;70067;3374;27728;3519;0;0;7014;0;0
Cumbernauld, Kilsyth and Kirkintilloch East;Gregg McClymont;2;Glasgow area;64037;3407;23549;3924;0;0;9794;0;476
Dumfries and Galloway;Russell Brown;2;Dumfries and Galloway;74581;16501;23950;4608;695;0;6419;0;0
Dumfriesshire, Clydesdale and Tweeddale;David Mundell;2;Dumfries and Galloway;66627;17457;13263;9080;637;510;4945;0;0
Dunbartonshire East;Jo Swinson;2;Glasgow area;63795;7431;16367;18551;545;0;5054;0;0
Dunbartonshire West;Gemma Doyle;2;Glasgow area;66085;3242;25905;3434;683;0;8497;0;505
Dundee East;Stewart Hosie;1;Tayside;65471;6177;13529;4285;431;542;15350;0;254
Dundee West;James McGovern;1;Tayside;63013;3461;17994;4233;0;0;10716;0;722
Dunfermline and West Fife;Thomas Docherty;1;Fife;73769;3305;22639;17169;633;0;5201;0;0
East Kilbride, Strathaven and Lesmahagow;Michael McCann;2;Ayrshire and Lanark;76534;6613;26241;5052;0;1003;11738;0;299
East Lothian;Fiona O'Donnell;1;Edinburgh area;73438;9661;21919;8288;548;862;7883;0;0
Edinburgh East;Sheila Gilmore;1;Edinburgh area;60941;4358;17314;7751;0;2035;8133;0;274
Edinburgh North and Leith;Mark Lazarowicz;1;Edinburgh area;69204;7079;17740;16016;0;1062;4568;0;891
Edinburgh South;Ian Murray;1;Edinburgh area;59354;9452;15215;14899;0;881;3354;0;0
Edinburgh South West;Alistair Darling;1;Edinburgh area;66359;11026;19473;8194;0;872;5530;0;367
Edinburgh West;Michael Crockart;1;Edinburgh area;65161;10767;12881;16684;0;0;6115;0;0
Falkirk;Eric Joyce;1;Central;81869;5698;23207;5225;1283;0;15364;0;0
Fife North East;Sir Menzies Campbell;1;Fife;62969;8715;6869;17763;1032;0;5685;0;0
Glasgow Central;Anas Sarwar;2;Glasgow area;60062;2158;15908;5010;246;800;5357;0;1101
Glasgow East;Margaret Curran;2;Glasgow area;61516;1453;19797;1617;209;0;7957;677;454
Glasgow North;Ann McKechin;2;Glasgow area;51416;2089;13181;9283;0;947;3530;0;583
Glasgow North East;Willie Bain;2;Glasgow area;59859;1569;20100;2262;0;0;4158;798;522
Glasgow North West;John Robertson;2;Glasgow area;60968;3537;19233;5622;0;882;5430;0;878
Glasgow South;Tom Harris;2;Glasgow area;65029;4592;20736;4739;0;961;8078;0;988
Glasgow South West;Ian Davidson;2;Glasgow area;58182;2084;19863;2870;0;0;5192;0;1772
Glenrothes;Lindsay Roy;1;Fife;67893;2922;25247;3108;425;0;8799;0;0
Gordon;Malcolm Bruce;1;Grampian;73420;9111;9811;17575;0;752;10827;0;699
Inverclyde;David Cairns;2;Glasgow area;59209;4502;20993;5007;433;0;6577;0;0
Inverness Nairn Badenoch and Strathspey;Danny Alexander;1;Highland;72528;6278;10407;19172;574;789;8803;0;1063
Kilmarnock and Loudoun;Cathy Jamieson;2;Ayrshire and Lanark;74131;6592;24460;3419;0;0;12082;0;0
Kirkcaldy and Cowdenbeath;Gordon Brown;1;Fife;73665;4258;29559;4269;760;0;6550;0;406
Lanark and Hamilton East;Jimmy Hood;2;Ayrshire and Lanark;74773;6981;23258;5249;616;0;9780;0;670
Linlithgow and East Falkirk;Michael Connarty;1;Edinburgh area;80907;6146;25634;6589;0;0;13081;0;0
Livingston;Graeme Morrice;1;Edinburgh area;75924;5158;23215;5316;443;0;12424;0;1351
Midlothian;David Hamilton;1;Edinburgh area;61387;4661;18449;6711;364;595;8100;0;362
Moray;Angus Robertson;1;Grampian;65925;10683;7007;5956;1085;0;16273;0;0
Motherwell and Wishaw;Frank Roy;2;Glasgow area;66918;3660;23910;3840;0;0;7104;0;609
Na h-Eileanan An Iar (Western Isles);Angus MacNeil;1;Western Isles;22266;647;4838;1097;0;0;6723;1412;0
Ochil and South Perthshire;Gordon Banks;1;Central;75115;10342;19131;5754;689;609;13944;0;0
Orkney and Shetland;Alistair Carmichael;1;Orkney and Shetland;33085;2032;2061;11989;1222;0;2042;0;0
Paisley and Renfrewshire North;James Sheridan;2;Glasgow area;63704;6381;23613;4597;0;0;8333;0;783
Paisley and Renfrewshire South;Douglas Alexander;2;Glasgow area;61197;3979;23842;3812;0;0;7228;0;1137
Perth and North Perthshire;Peter Wishart;1;Tayside;72141;14739;7923;5954;0;0;19118;0;534
Renfrewshire East;Jim Murphy;2;Glasgow area;66249;15567;25987;4720;372;0;4535;0;0
Ross Skye and Lochaber;Charles Kennedy;1;Highland;51836;4260;5265;18335;659;777;5263;0;279
Rutherglen and Hamilton West;Tom Greatrex;2;Ayrshire and Lanark;76408;4540;28566;5636;675;0;7564;0;0
Stirling;Anne McGuire;1;Central;66080;11254;19558;6797;395;746;8091;0;0
Antrim East;Sammy Wilson;3;Antrim;60204;7223;2019;13993;0;0;2064;3377;1826
Antrim North;Ian Paisley Jr;3;Antrim;73338;4634;3738;19672;0;0;5265;7114;1974
Antrim South;Rev William McCrea;3;Antrim;63054;10353;2955;11536;0;0;4729;2607;1829
Belfast East;Naomi Long;3;Antrim;59007;7305;365;11306;0;0;817;12839;1856
Belfast North;Nigel Dodds;3;Antrim;65504;2837;4544;14812;0;0;12588;1809;403
Belfast South;Dr Alasdair McDonnell;3;Antrim;59524;5910;14026;8100;0;1036;0;5114;0
Belfast West;Gerry Adams;3;Antrim;59522;1000;5261;2436;0;0;22840;596;0
Down North;Lady Sylvia Hermon;3;Down;60698;6817;680;0;0;1043;250;21181;3510
Down South;Margaret Ritchie;3;Down;70784;3093;20648;3645;0;901;12236;1506;560
Fermanagh and South Tyrone;Michelle Gildernew;3;Fermanagh;67908;0;3574;0;0;0;21304;21300;625
Foyle;Mark Durkan;3;Londonderry;65843;1221;16922;4489;0;0;12098;2936;223
Lagan Valley;Jeffrey Donaldson;3;Antrim;65257;7713;1835;18199;0;0;1465;4174;3154
Londonderry East;Gregory Campbell;3;Londonderry;63220;6218;5399;12097;0;0;6742;2572;1922
Newry and Armagh;Conor Murphy;3;Armagh;74308;8558;10526;5764;0;0;18857;545;656
Strangford;Jim Shannon;3;Down;60539;9050;2164;14926;0;562;1161;2828;1814
Tyrone West;Pat Doherty;3;Tyrone;61148;5281;5212;7365;0;0;18050;859;508
Ulster Mid;Martin McGuinness;3;Tyrone;64594;4509;5826;5876;0;0;21239;2995;397
Upper Bann;Thomas Simpson;3;Armagh;74732;10639;5276;14000;0;0;10237;1231;0
