Name;MP;Region;County Area;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Middlesbrough;Sir Stuart Bell;4;Teesside;65148;6283;15351;6662;1236;0;0;0;3923
Middlesbrough South and Cleveland East;Tom Blenkinsop;4;Teesside;72664;16461;18138;7340;1881;0;0;0;2394
Milton Keynes North;Mark Lancaster;14;Buckinghamshire;85841;23419;14458;11894;1772;733;0;0;1612
Milton Keynes South;Iain Stewart;14;Buckinghamshire;90487;23034;17833;9787;2074;774;0;0;1831
Mitcham and Morden;Siobhain McDonagh;17;Merton;65939;11056;24722;5202;857;381;0;0;1579
Mole Valley;Sir Paul Beresford;19;Surrey;72612;31263;3804;15610;2752;895;0;0;0
Morecambe and Lunesdale;David Morris;5;Lancashire;69965;18035;17169;5791;1843;598;0;0;0
Morley and Outwood;Ed Balls;7;West Yorkshire;74200;17264;18365;8186;1506;0;0;3535;0
New Forest East;Julian Lewis;19;Hampshire;72858;26443;4915;15136;2518;1024;0;0;0
New Forest West;Desmond Swayne;19;Hampshire;68332;27980;4666;11084;2783;1059;0;0;0
Newark;Patrick Mercer;10;Nottinghamshire;71785;27590;11438;10246;1954;0;0;0;0
Newbury;Richard Benyon;19;Berkshire;78329;33057;2505;20809;1475;490;0;0;253
Newcastle upon Tyne Central;Chi Onwurah;4;Newcastle area;60507;6611;15694;8228;754;568;0;0;2302
Newcastle upon Tyne East;Nick Brown;4;Newcastle area;64487;6068;17043;12590;0;620;0;0;1519
Newcastle upon Tyne North;Catherine McKinnell;4;Newcastle area;67110;7966;17950;14536;1285;319;0;0;1890
Newcastle-under-Lyme;Paul Farrelly;11;Staffordshire;69433;14841;16393;8466;3491;0;0;0;0
Newton Abbot;Anne-Marie Morris;18;Devon;69343;20774;3387;20251;3088;701;0;0;82
Norfolk Mid;George Freeman;13;Norfolk;74260;25123;8857;11267;2800;1457;0;0;1261
Norfolk North;Norman Lamb;13;Norfolk;67841;15928;2896;27554;2680;508;0;0;95
Norfolk North West;Henry Bellingham;13;Norfolk;73207;25916;6353;11106;1841;745;0;0;1839
Norfolk South;Richard Bacon;13;Norfolk;76165;27133;7252;16193;2329;1000;0;0;1086
Norfolk South West;Elizabeth Truss;13;Norfolk;74298;23753;9119;10613;3061;830;0;0;1774
Normanton, Pontefract and Castleford;Yvette Cooper;7;West Yorkshire;82239;11314;22293;7585;0;0;0;0;5047
Northampton North;Michael Ellis;13;Northamptonshire;64230;13735;11799;11250;1238;443;0;0;1806
Northampton South;Brian Binley;13;Northamptonshire;66923;15917;9913;7579;1897;363;0;0;3309
Northamptonshire South;Andrea Leadsom;13;Northamptonshire;82032;33081;10380;12603;2406;685;0;0;735
Norwich North;Chloe Smith;13;Norfolk;65258;17280;13379;7783;1878;1245;0;0;1008
Norwich South;Simon Wright;13;Norfolk;73649;10902;13650;13960;1145;7095;0;0;799
Nottingham East;Christopher Leslie;10;Nottinghamshire;58707;7846;15022;8053;1138;928;0;0;125
Nottingham North;Graham Allen;10;Nottinghamshire;63240;8508;16646;5849;1338;0;0;0;1944
Nottingham South;Lilian Greenwood;10;Nottinghamshire;67441;13437;15209;9406;967;630;0;0;1140
Nuneaton;Marcus Jones;10;Warwickshire;67837;18536;16467;6846;0;0;0;0;2797
